OID_,Name,Parcel__Parcel_Name,Project_ID,Record_Type,Project_Status,Owner__Full_Name,Project_Street_Number,Project_Street_Name,Project_Street_Suffix,Neighborhood,Project_Zip_Code,Letter_of_Intent,Filed_Date,BPDA_Board_Approval,First_Building_Permit,COO_Permit_Date,Last_Modified_Date,Last_Project_Update_Date,Lat,Lon,A80_Proj_ID,LocCode,A80_URL,URL_Base,URL_Stat
1760,368 Congress Street,,2998,,,,,,,South Boston Waterfront,,,,4/1/2008 0:00:00,1/19/2012 0:00:00,5/30/2013 0:00:00,10/30/2020 0:00:00,,42.350400000000000,-71.047799999999995,2998,,http://www.bostonplans.org/projects/development-projects/368-Congress-Street,368-Congress-Street,
1761,Parcel R-2A1 75 West School St,,2999,,,,,,,Charlestown,,,,1/10/2008 0:00:00,8/8/2012 0:00:00,7/26/2013 0:00:00,10/30/2020 0:00:00,,42.349699999999999,-71.048400000000001,2999,,http://www.bostonplans.org/projects/development-projects/Parcel-R-2A1-75-West-School-St,Parcel-R-2A1-75-West-School-St,
1762,"75 West School Street, First NPC",,3000,,,,,,,Charlestown,,,,5/12/2011 0:00:00,8/8/2012 0:00:00,7/26/2013 0:00:00,10/30/2020 0:00:00,,42.375599999999999,-71.067800000000005,3000,,"http://www.bostonplans.org/projects/development-projects/75-West-School-Street,-First-NPC","75-West-School-Street,-First-NPC",
1763,275 Albany Street,,3001,,,,,,,South End,,,,8/17/2010 0:00:00,2/3/2014 0:00:00,11/23/2015 0:00:00,10/30/2020 0:00:00,,42.343600000000002,-71.062700000000007,3001,,http://www.bostonplans.org/projects/development-projects/275-Albany-Street,275-Albany-Street,
1764,275 Albany Street,,3002,,,,,,,South End,,,,9/13/2012 0:00:00,2/3/2014 0:00:00,8/14/2015 0:00:00,10/30/2020 0:00:00,,42.343600000000002,-71.062700000000007,3002,,http://www.bostonplans.org/projects/development-projects/275-Albany-Street,275-Albany-Street,
1765,Boston Cargo Terminal,,3003,,,,,,,South Boston Waterfront,,,,9/11/2007 0:00:00,,,10/30/2020 0:00:00,,42.346899999999998,-71.032700000000006,3003,,http://www.bostonplans.org/projects/development-projects/Boston-Cargo-Terminal,Boston-Cargo-Terminal,
1766,Boston Cargo Terminal -- North Jetty,,3004,,,,,,,South Boston Waterfront,,,,8/9/2012 0:00:00,,,1/20/2021 0:00:00,,42.345999999999997,-71.022199999999998,3004,,http://www.bostonplans.org/projects/development-projects/Boston-Cargo-Terminal----North-Jetty,Boston-Cargo-Terminal----North-Jetty,
1767,4-6 Newbury Street,,3005,,,,,,,Back Bay,,,,4/1/2008 0:00:00,7/1/2013 0:00:00,10/31/2016 0:00:00,10/30/2020 0:00:00,,42.352300000000000,-71.071600000000004,3005,,http://www.bostonplans.org/projects/development-projects/4-6-Newbury-Street,4-6-Newbury-Street,
1768,10 Oxford Street,,3006,,,,,,,Chinatown,,,,5/15/2008 0:00:00,5/22/2014 0:00:00,9/8/2016 0:00:00,10/30/2020 0:00:00,,42.352100000000000,-71.060299999999998,3006,,http://www.bostonplans.org/projects/development-projects/10-Oxford-Street,10-Oxford-Street,
1769,the Oxford Ping On Project,,3007,,,,,,,Chinatown,,,,5/18/2010 0:00:00,5/22/2014 0:00:00,9/8/2016 0:00:00,10/30/2020 0:00:00,,42.352100000000000,-71.060299999999998,3007,,http://www.bostonplans.org/projects/development-projects/the-Oxford-Ping-On-Project,the-Oxford-Ping-On-Project,
1770,Oxford Ping-On Project,,3008,,,,,,,Chinatown,,,,12/16/2011 0:00:00,5/22/2014 0:00:00,9/8/2016 0:00:00,10/30/2020 0:00:00,,42.352100000000000,-71.060299999999998,3008,,http://www.bostonplans.org/projects/development-projects/Oxford-Ping-On-Project,Oxford-Ping-On-Project,
1771,Fenway Center - Parcel 7 Air Rights,,3009,,,,,,,Fenway,,,,1/29/2009 0:00:00,12/6/2017 0:00:00,,10/30/2020 0:00:00,,42.347799999999999,-71.099500000000006,3009,,http://www.bostonplans.org/projects/development-projects/Fenway-Center-Parcel-7-Air-Rights,Fenway-Center-Parcel-7-Air-Rights,
1772,93 Massachusetts Avenue Project,,3011,,,,,,,Back Bay,,,,6/3/2008 0:00:00,10/16/2012 0:00:00,6/20/2014 0:00:00,10/30/2020 0:00:00,,42.348300000000002,-71.088600000000000,3011,,http://www.bostonplans.org/projects/development-projects/93-Massachusetts-Avenue-Project,93-Massachusetts-Avenue-Project,
1773,1047 Commonwealth Avenue,,3012,,,,,,,Allston,,,,4/29/2008 0:00:00,3/27/2015 0:00:00,2/6/2017 0:00:00,10/30/2020 0:00:00,,42.352600000000002,-71.122600000000006,3012,,http://www.bostonplans.org/projects/development-projects/1047-Commonwealth-Avenue,1047-Commonwealth-Avenue,
1774,Charlesview Redevelopment Project,,3013,,,,,,,Brighton,,,,12/17/2009 0:00:00,3/15/2016 0:00:00,,11/19/2020 0:00:00,,42.362099999999998,-71.138499999999993,3013,,http://www.bostonplans.org/projects/development-projects/Charlesview-Redevelopment-Project,Charlesview-Redevelopment-Project,
1775,49/51/63 Melcher Street,,3014,,,,,,,South Boston Waterfront,,,,12/4/2008 0:00:00,7/11/2012 0:00:00,10/25/2013 0:00:00,10/30/2020 0:00:00,,42.349200000000003,-71.050100000000000,3014,,http://www.bostonplans.org/projects/development-projects/49/51/63-Melcher-Street,49/51/63-Melcher-Street,
1776,"49/51/63 Melcher Street, 1st PDA Amendment and NPC",,3015,,,,,,,South Boston Waterfront,,,,4/14/2011 0:00:00,7/11/2012 0:00:00,10/25/2013 0:00:00,10/30/2020 0:00:00,,42.349200000000003,-71.050100000000000,3015,,"http://www.bostonplans.org/projects/development-projects/49/51/63-Melcher-Street,-1st-PDA-Amendment-and-NPC","49/51/63-Melcher-Street,-1st-PDA-Amendment-and-NPC",
1777,49/51/63 Melcher Street,,3016,,,,,,,South Boston Waterfront,,,,2/16/2012 0:00:00,7/11/2012 0:00:00,10/25/2013 0:00:00,10/30/2020 0:00:00,,42.349200000000003,-71.050100000000000,3016,,http://www.bostonplans.org/projects/development-projects/49/51/63-Melcher-Street,49/51/63-Melcher-Street,
1778,Harvard Allston Science and Engineering Building,,3017,,,,,,,Allston,,,,10/3/2007 0:00:00,6/13/2017 0:00:00,,12/13/2020 0:00:00,9/1/2017 0:00:00,42.362699999999997,-71.126099999999994,3017,,http://www.bostonplans.org/projects/development-projects/Harvard-Allston-Science-and-Engineering-Building,Harvard-Allston-Science-and-Engineering-Building,
1779,The Copley Place Retail Expansion and Residential Addition Project,,3018,,,,,,,Back Bay,,,,11/17/2011 0:00:00,6/15/2015 0:00:00,9/15/2015 0:00:00,10/30/2020 0:00:00,,42.347600000000000,-71.077799999999996,3018,,http://www.bostonplans.org/projects/development-projects/The-Copley-Place-Retail-Expansion-and-Residential-Addition-Project,The-Copley-Place-Retail-Expansion-and-Residential-Addition-Project,
1780,Copley Place,,3019,,,,,,,Back Bay,,,,10/17/2013 0:00:00,,,10/30/2020 0:00:00,,42.347200000000001,-71.077799999999996,3019,,http://www.bostonplans.org/projects/development-projects/Copley-Place,Copley-Place,
1781,621 East First Street Community Center,,3020,,,,,,,South Boston,,,,6/13/2013 0:00:00,2/29/2016 0:00:00,6/13/2017 0:00:00,10/30/2020 0:00:00,,42.337899999999998,-71.034599999999998,3020,,http://www.bostonplans.org/projects/development-projects/621-East-First-Street-Community-Center,621-East-First-Street-Community-Center,
1782,621 East First Street,,3021,,,,,,,South Boston,,,,4/17/2014 0:00:00,2/29/2016 0:00:00,6/13/2017 0:00:00,10/30/2020 0:00:00,,42.337899999999998,-71.034599999999998,3021,,http://www.bostonplans.org/projects/development-projects/621-East-First-Street,621-East-First-Street,
1783,621 East First Street NPC,,3022,,,,,,,South Boston,,,,8/13/2015 0:00:00,2/29/2016 0:00:00,6/13/2017 0:00:00,10/30/2020 0:00:00,,42.337899999999998,-71.034599999999998,3022,,http://www.bostonplans.org/projects/development-projects/621-East-First-Street-NPC,621-East-First-Street-NPC,
1784,319 A Street Rear Project,,3023,,,,,,,South Boston Waterfront,,,,12/14/2010 0:00:00,5/22/2012 0:00:00,2/14/2014 0:00:00,10/30/2020 0:00:00,,42.348900000000000,-71.048699999999997,3023,,http://www.bostonplans.org/projects/development-projects/319-A-Street-Rear-Project,319-A-Street-Rear-Project,
1785,Mission Hill Neighborhood Housing Services,,3024,,,,,,,Mission Hill,,,,11/16/2010 0:00:00,1/15/2014 0:00:00,6/30/2015 0:00:00,10/30/2020 0:00:00,,42.332299999999996,-71.095900000000000,3024,,http://www.bostonplans.org/projects/development-projects/Mission-Hill-Neighborhood-Housing-Services,Mission-Hill-Neighborhood-Housing-Services,
1786,1282 Boylston Street,,3025,,,,,,,Fenway,,,,11/17/2011 0:00:00,11/19/2013 0:00:00,1/7/2016 0:00:00,10/30/2020 0:00:00,,42.344499999999996,-71.096999999999994,3025,,http://www.bostonplans.org/projects/development-projects/1282-Boylston-Street,1282-Boylston-Street,
1787,1282 Boylston Street,,3026,,,,,,,Fenway,,,,9/13/2012 0:00:00,4/4/2013 0:00:00,2/5/2016 0:00:00,10/30/2020 0:00:00,,42.344499999999996,-71.096999999999994,3026,,http://www.bostonplans.org/projects/development-projects/1282-Boylston-Street,1282-Boylston-Street,
1788,102-110 Broad Street,,3027,,,,,,,Downtown,,,,4/16/2015 0:00:00,3/15/2016 0:00:00,11/13/2018 0:00:00,10/30/2020 0:00:00,,42.357399999999998,-71.052099999999996,3027,,http://www.bostonplans.org/projects/development-projects/102-110-Broad-Street,102-110-Broad-Street,
1789,Ink Block- 300 Harrison Ave,,3028,,,,,,,South End,,,,5/15/2012 0:00:00,7/29/2014 0:00:00,11/4/2015 0:00:00,10/30/2020 0:00:00,,42.345199999999998,-71.062700000000007,3028,,http://www.bostonplans.org/projects/development-projects/Ink-Block--300-Harrison-Ave,Ink-Block--300-Harrison-Ave,
1790,Ink Block,,3029,,,,,,,South End,,,,12/5/2013 0:00:00,7/29/2014 0:00:00,11/4/2015 0:00:00,10/30/2020 0:00:00,,42.345199999999998,-71.062700000000007,3029,,http://www.bostonplans.org/projects/development-projects/Ink-Block,Ink-Block,
1791,Greater Boston YMCA -- 316 Huntington Avenue,,3030,,,,,,,Fenway,,,,6/12/2012 0:00:00,8/5/2011 0:00:00,12/19/2014 0:00:00,10/30/2020 0:00:00,,42.340499999999999,-71.087100000000007,3030,,http://www.bostonplans.org/projects/development-projects/Greater-Boston-YMCA----316-Huntington-Avenue,Greater-Boston-YMCA----316-Huntington-Avenue,
1792,105A South Huntington Avenue,,3031,,,,,,,Jamaica Plain,,,,6/13/2013 0:00:00,9/8/2015 0:00:00,,10/30/2020 0:00:00,,42.329000000000001,-71.111300000000000,3031,,http://www.bostonplans.org/projects/development-projects/105A-South-Huntington-Avenue,105A-South-Huntington-Avenue,
1793,Fenway Point - The Pierce,,3032,,,,,,,Fenway,,,,7/16/2013 0:00:00,,,10/30/2020 0:00:00,,42.343699999999998,-71.101900000000001,3032,,http://www.bostonplans.org/projects/development-projects/Fenway-Point-The-Pierce,Fenway-Point-The-Pierce,
1794,Parsons Crossing 425 Washington St,,3033,,,,,,,Brighton,,,,2/11/2016 0:00:00,,,11/24/2020 0:00:00,,42.349400000000003,-71.156000000000006,3033,,http://www.bostonplans.org/projects/development-projects/Parsons-Crossing-425-Washington-St,Parsons-Crossing-425-Washington-St,
1795,Ropewalk Complex,,3034,,,,,,,Charlestown,,,,6/19/2014 0:00:00,,,10/30/2020 0:00:00,,42.376800000000003,-71.054000000000002,3034,,http://www.bostonplans.org/projects/development-projects/Ropewalk-Complex,Ropewalk-Complex,
1796,345 Harrison Avenue,,3035,,,,,,,South End,,,,2/13/2014 0:00:00,9/28/2016 0:00:00,8/21/2018 0:00:00,10/30/2020 0:00:00,,42.345100000000002,-71.064400000000006,3035,,http://www.bostonplans.org/projects/development-projects/345-Harrison-Avenue,345-Harrison-Avenue,
1797,Washington St Westminster House Project,,3036,,,,,,,Roxbury,,,,8/15/2013 0:00:00,,,10/30/2020 0:00:00,,42.316600000000001,-71.096699999999998,3036,,http://www.bostonplans.org/projects/development-projects/Washington-St-Westminster-House-Project,Washington-St-Westminster-House-Project,
1798,BU- Center for Life Sciences and Engineering,,3037,,,,,,,Fenway,,,,11/14/2013 0:00:00,6/9/2015 0:00:00,4/7/2017 0:00:00,10/30/2020 0:00:00,,42.348599999999998,-71.100700000000003,3037,,http://www.bostonplans.org/projects/development-projects/BU--Center-for-Life-Sciences-and-Engineering,BU--Center-for-Life-Sciences-and-Engineering,
1799,Brighton Landing - Second Amendment,,3038,,,,,,,Brighton,,,,10/18/2012 0:00:00,4/2/2014 0:00:00,11/13/2014 0:00:00,10/30/2020 0:00:00,,42.356800000000000,-71.146799999999999,3038,,http://www.bostonplans.org/projects/development-projects/Brighton-Landing-Second-Amendment,Brighton-Landing-Second-Amendment,
1800,Brighton Landing - Third Amendment,,3039,,,,,,,Brighton,,,,6/13/2013 0:00:00,4/2/2014 0:00:00,11/13/2014 0:00:00,11/27/2020 0:00:00,,42.356800000000000,-71.146799999999999,3039,,http://www.bostonplans.org/projects/development-projects/Brighton-Landing-Third-Amendment,Brighton-Landing-Third-Amendment,
1801,Brighton Landing - Fourth Amendment,,3040,,,,,,,Brighton,,,,10/17/2013 0:00:00,4/2/2014 0:00:00,11/13/2014 0:00:00,10/30/2020 0:00:00,,42.356800000000000,-71.146799999999999,3040,,http://www.bostonplans.org/projects/development-projects/Brighton-Landing-Fourth-Amendment,Brighton-Landing-Fourth-Amendment,
1802,The Studios at St. Peters,,3041,,,,,,,Dorchester,,,,9/15/2011 0:00:00,6/5/2013 0:00:00,7/11/2014 0:00:00,10/30/2020 0:00:00,,42.307400000000001,-71.064999999999998,3041,,http://www.bostonplans.org/projects/development-projects/The-Studios-at-St.-Peters,The-Studios-at-St.-Peters,
